question,document,score,reasoning
Is it okay to join the course late if I just found it now?,74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: late enrollment is allowed, and certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent."
Can I still take this course even if I missed the start date?,74eb249bbf,good,"The AI answer matches the ground truth: it says you can still join after the start date and correctly notes that to receive a certificate, the project must be submitted while submissions are still accepted. Extra phrasing about course materials being available does not change the meaning."
"If I join after the course has already started, am I still eligible for a certificate?",74eb249bbf,good,"The AI answer preserves the core point: joining late is allowed and a certificate is still possible if the project is submitted while submissions are open. It adds an extra condition about finishing with the live cohort, which is not in the ground truth, but it does not contradict the key answer and is consistent with the idea of receiving a certificate."
Do I need to submit my project before submissions close to get the certificate?,74eb249bbf,good,"The AI answer matches the ground truth: it says that to receive the certificate, the project must be submitted while submissions are still open/accepted. This preserves the key condition and meaning."
I’m a bit late to the course—what do I need to do to still earn the certificate?,74eb249bbf,good,"The AI answer preserves the core requirement that a late student can still earn the certificate if they submit their project while submissions are open. However, it adds extra requirements about finishing with the live cohort and peer-reviewing 3 capstones that are not present in the ground truth. Since the key point is correct and the added detail may be true in a broader context, it is semantically close enough to count as equivalent."
I registered for the LLM Zoomcamp — when should I expect a confirmation email?,977bf7786c,good,"The AI answer conveys the same key points as the ground truth: no confirmation email is needed, the registrant is accepted, registration is only for gauging interest, and one can start learning/submitting homework while the form is open without registering. Semantically equivalent."
Do I actually need an acceptance email before I can start the course and hand in homework?,977bf7786c,good,"The AI answer matches the ground truth: it says an acceptance email is not needed, the student is accepted, homework can be submitted while the form is open, and registration is only for gauging interest and not checked against a list. This is semantically equivalent."
"If I filled out the registration form, does that mean I’m officially on a checked list for the course?",977bf7786c,good,"The AI answer matches the ground truth: it says the form is not a checked list, registration is only to gauge interest, and you’re accepted / can start learning and submitting homework while the form is open. This conveys the same key information."
"Is registering for the LLM Zoomcamp required, or is it just for estimating interest before the course starts?",977bf7786c,good,"The AI answer matches the ground truth: registration is optional, used only to gauge interest, and students can start learning and submit homework while the form is open without registering. It preserves the key point that registration is not required."
Can I begin learning and submit homework even if I never got any email after signing up?,977bf7786c,good,"The AI answer preserves the ground truth: no confirmation email is needed, the user is accepted, can start learning and submit homework while the form is open, and registration is only to gauge interest. It is semantically equivalent."
How do I join the Office Hours or live workshop if I don’t have the Zoom link?,489dd1c9d9,good,"The AI answer preserves the key points: students do not need the Zoom link, can watch on the DataTalksClub YouTube channel, the live URL is posted in Telegram/Slack announcements, and questions should be submitted via Slido pinned in chat. It omits the detail that the Zoom link is only for instructors/presenters/TAs, but that is not essential to the student-facing answer. It also does not mention not posting questions in chat, but the main guidance is still correct."
"Where can I watch the live sessions for the course, and how do I ask questions during them?",489dd1c9d9,good,"The AI answer matches the ground truth: it says students watch via the DataTalksClub YouTube channel, the video link is posted in Telegram/Slack announcements before the session, and questions should be submitted via Slido with the link pinned in chat while live, not in chat. It also includes an extra note about non-live questions in Slack, which does not contradict the original answer."
"Is the Zoom link for the workshop shared with students, or only with the teaching team?",489dd1c9d9,good,"The AI answer matches the ground truth on the key point: the Zoom link is only shared with instructors/presenters/TAs, not students. It also correctly states that students join via YouTube Live and use Slido for questions. Extra details from the original are omitted, but the core answer is preserved."
What’s the best way to follow the live Office Hours stream if I’m a student?,489dd1c9d9,good,"The AI answer matches the ground truth: students should watch via YouTube Live/DataTalksClub YouTube Channel, ask questions through Slido, and find the video link in Telegram/Slack announcements with the Slido link pinned in chat. It also correctly warns not to post questions in chat. The only minor omission is that the zoom link is for instructors/presenters/TAs, but that is not necessary to answer the student’s question."
"Should I type my questions in the live chat during Office Hours, or use something else?",489dd1c9d9,good,"The AI answer captures the key instruction: students should use Slido rather than live chat because chat can be too active and questions may be missed. It omits some extra context from the original (YouTube Live, Telegram/Slack announcements, who gets the Zoom link), but those are not necessary to answer the question asked."
How do I find my row on the leaderboard if I can’t see my name right away?,c2903069a0,good,"The AI answer correctly identifies the key action for finding the row on the leaderboard: click the “Jump to your record on the leaderboard” link. It also correctly mentions using “Edit Course Profile” to see the displayed nickname. It omits some extra details about the random assigned name and certificate/name fields, but those are not required to answer the question."
Why does the leaderboard show some random nickname instead of my real name?,c2903069a0,good,"The AI answer correctly explains that the random nickname is the default display name on the leaderboard, and that it can be changed via Edit Course Profile. It also correctly distinguishes the first field (nickname/display name) from the second field (official/certificate name). It omits the instruction about using the 'Jump to your record on the leaderboard' link, but that is not essential to the question asked."
Where can I check what display name I’m using for the course?,c2903069a0,good,"The AI answer correctly identifies that the display name can be checked by clicking “Edit Course Profile” and notes that the first field is the public display name/nickname. This matches the key information in the ground truth. It omits some extra context about the random assigned name and the second field, but those are not required for the question asked."
"Can I change the name that appears publicly, like to my Slack or GitHub name?",c2903069a0,good,"The AI answer correctly states that the public/display name can be changed to a Slack or GitHub username, and that the first field in Edit Course Profile controls the displayed name while the second field is the official certificate name. This matches the original answer's key points."
What should I put in the profile fields so my certificate doesn’t use the default random name?,c2903069a0,good,"The AI answer correctly states that the second profile field should contain the official/legal name as it should appear on the certificate, and that the first field is the nickname/display name. This matches the ground truth’s key point about avoiding the default random name on the certificate."
Can I do the course at my own pace and still get a certificate at the end?,69d122f12e,good,"The AI answer matches the ground truth: it clearly says no certificate for self-paced mode, only for finishing with a live cohort, and mentions the peer-review requirement during the course run. This preserves the key points without contradiction."
"If I take the self-paced version, is there any way to earn the course certificate?",69d122f12e,good,"The AI answer correctly states that no certificate is available for the self-paced mode and that a live cohort is required. It preserves the core meaning of the original answer, though it omits the peer-review explanation. That omission does not change the main answer."
Do certificates only count for people who finish with the live cohort?,69d122f12e,good,"The AI answer captures the main point correctly: certificates are only awarded for finishing with the live cohort, not for self-paced mode. It omits the explanation about peer reviews and slightly says 'count' instead of 'get a certificate,' but that does not change the meaning for this question."
Why doesn’t the self-paced mode come with a certificate?,69d122f12e,good,"The AI answer matches the ground truth: it says certificates are not awarded for self-paced mode, explains that peer-reviewing 3 capstone projects is required, and that peer review is only available during a live cohort while the form is open. This conveys the same key information."
Is peer-review of the capstone project required in order to receive the certificate?,69d122f12e,bad,"The AI answer says peer-reviewing 3 capstone projects is required for the certificate, but the ground truth says certificates are only awarded for a live cohort and not for self-paced mode; peer review is part of why self-paced users cannot get a certificate, not a standalone requirement for all learners. The AI answer misses this key distinction and changes the meaning to a general requirement."
Can I still get the certificate if I skipped the first homework?,9f689c185f,good,"The AI answer matches the ground truth: it says the certificate is still obtainable without doing the first homework, and that only the Capstone project must be passed, while homework is not mandatory. It preserves the key point and does not introduce conflicting information."
Do I have to do all the homework to receive the certificate for this course?,9f689c185f,good,"The AI answer conveys the key point correctly: homework is not required for the certificate, and passing the Capstone project is required. It also correctly notes that homework is recommended. This is semantically equivalent to the ground truth, though it omits the leaderboard detail, which is not essential to the question."
What do I actually need to pass in order to get the certificate?,9f689c185f,bad,"The AI answer correctly states that the Capstone project must be passed and that homework is not mandatory. However, it adds an extra condition about needing a live cohort and not self-paced mode, which is not present in the ground truth and changes the requirements for the certificate. Since the key answer is altered by this unsupported condition, it is not semantically equivalent."
"Is homework mandatory, or is it just optional practice for the course?",9f689c185f,good,"The AI answer preserves the key points from the ground truth: homework is optional/not mandatory, it is recommended for practice, it contributes to leaderboard rank, and the certificate depends on passing the capstone project. This is semantically equivalent."
"If homework isn't required, does it still affect anything like my ranking or points?",9f689c185f,good,"The AI answer preserves the key points from the ground truth: homework is not mandatory, and homework points still affect leaderboard rank. It omits the mention that the Capstone project must be passed to get the certificate, but that was not the main question about homework and ranking, and the answer remains semantically aligned with the requested information."
Why does the homework content keep changing in this course?,96286b4be4,good,"The AI answer captures all key points from the ground truth: [DRAFT] indicates the homework is not ready, the homework is only ready when the form is open and the title lacks [DRAFT], and content may change until then with early work being at the student's risk. It is semantically equivalent."
"Is the material already finalized, or can it still change later?",96286b4be4,good,"The AI answer correctly states that the material can still change and that a `[DRAFT]` title indicates it is not finalized. It captures the main point of the original answer, though it omits the extra condition about the homework form being open and the note about working in advance at your own risk. Those omissions do not change the core meaning."
"If I start working on the homework now, could the final version be different?",96286b4be4,good,"The AI answer preserves the key meaning: the homework can still change if it is marked [DRAFT] or not yet open, and early work is at the student's own risk. This is semantically equivalent to the original answer, though slightly less detailed."
How will I know when a module is actually ready and settled?,96286b4be4,good,"The AI answer captures the key conditions for readiness: the form must be open and the title must not contain [DRAFT]. It also correctly notes that until then, the content can still change. This is semantically equivalent to the ground truth, though it omits the explicit 'at your own risk' phrasing and some wording about 'module' versus 'homework,' which does not affect correctness."
"Is it safe to do the course work in advance, or should I wait until updates are announced?",96286b4be4,good,"The AI answer captures the main point: you can work in advance at your own risk because the homework may still change, and readiness depends on the form being open and the title no longer having [DRAFT]. This matches the ground truth semantically."
When is the next time this course will be offered?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the same information: the course will next be offered in Summer 2027.
Do you know when the next course session starts?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the same start time for the next course session.
"Will there be another run of this course, and if so, when?",bd31146b0e,good,The AI answer matches the ground truth exactly in meaning by stating the course will run again in Summer 2027. Extra wording does not change the answer.
What's the next scheduled offering for this course?,bd31146b0e,good,The AI answer exactly matches the ground truth and conveys the same scheduled offering time.
Can you tell me when the course is coming back?,bd31146b0e,bad,"The ground truth gives a specific return time: Summer 2027. The AI answer says 'I don't know,' which does not convey the correct information and misses the key point."
Where can I find the course lectures or videos for this class?,31456f4b5f,good,"The AI answer matches the ground truth: it points to the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders where videos are linked at the top, and notes that the GitHub repo is preferable to the YouTube playlist because it is easier to keep updated. This is semantically equivalent."
Are the recordings or lecture videos posted somewhere I can watch them?,31456f4b5f,good,"The AI answer conveys the same guidance as the original: use the LLM Zoomcamp GitHub repository as the main entry point, find videos in the lesson folders at the top of each lesson page, and prefer the GitHub repo over the YouTube playlist because it is updated more reliably. This is semantically equivalent."
I’m looking for the videos—should I check the bookmarks or pinned links?,31456f4b5f,good,"The AI answer preserves the key guidance: use the GitHub repo/lesson pages as the main entry point, videos are linked at the top of each lesson page, and the GitHub repo is preferred over the YouTube playlist because it is easier to keep updated. This is semantically equivalent to the ground truth."
Is there a specific YouTube channel for the course lectures?,31456f4b5f,good,"The AI answer captures the key point that the GitHub repository is the main entry point and that lesson pages link the relevant videos. However, it adds mention of a specific YouTube channel for live streams and office hours, which is not part of the ground truth and may imply a dedicated course YouTube channel. Still, it does not contradict the main answer and preserves the essential guidance to use the repo first. Semantically it is close enough."
"Where are the lecture videos linked, and what should I check first?",31456f4b5f,good,"The AI answer preserves the key points: lecture videos are linked at the top of each lesson page in the LLM Zoomcamp GitHub repository, and the GitHub repo should be checked first because it is the main entry point and more up to date than the YouTube playlist. This is semantically equivalent to the ground truth."
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,f3dd94f323,good,"The AI answer matches the ground truth: it explains that WSL2 only uses allocated memory rather than all system RAM, gives the correct .wslconfig location and example memory setting, and includes restarting WSL and verifying with free. Minor wording differences do not change the meaning."
How can I increase the RAM available to WSL2 on Windows for running a model?,f3dd94f323,good,"The AI answer matches the ground truth closely: it explains that WSL2 uses a limited amount of RAM, instructs creating a .wslconfig file in the Windows user profile, setting `[wsl2] memory=8GB`, restarting WSL with `wsl --shutdown`, and verifying with `free`. The extra note that the value can be changed is consistent with the original intent."
