question,answer_agent,answer_orig,tool_calls,cost,document
Is it okay to join the course late if I just found it now?,"Yes — you can still join the course if you just found it.

One important caveat: if you want to receive a certificate, you need to submit your project while the course is still accepting submissions. Also, the course’s live/cohort format matters for certification.

If you want, I can also tell you how the homework and deadlines work for late starters.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join the course late found it now late enrollment enrollment policy""}'}]",0.001221,74eb249bbf
Can I still take this course even if I missed the start date?,"Yes — you can still take the course even if you missed the start date.

According to the FAQ, you can **start whenever you want** because the videos and GitHub materials are available. Also, if you just discovered the course, you can still join; the main limitation is that if you want a **certificate**, you need to submit your project while submissions are still being accepted.

If you want, I can also explain how homework deadlines work for late starters.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""missed start date can I still take this course late enrollment start date""}'}]",0.001257,74eb249bbf
"If I join after the course has already started, am I still eligible for a certificate?","Yes — you can still join after the course has started, but to be eligible for a certificate you must submit your project while submissions are still being accepted.

Also, certificates are only awarded for finishing with the live cohort, not in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join after course has already started eligible for certificate""}'}]",0.00101175,74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,"Yes — if you want the certificate, you need to submit your project while submissions are still open.

The FAQ says: “if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.”

If you want, I can also check whether homework deadlines affect the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate project submission before submissions close deadline certificate FAQ""}'}]",0.001077,74eb249bbf
I’m a bit late to the course—what do I need to do to still earn the certificate?,"Yes — if you’re late, you can still earn the certificate, but the key requirement is to **pass the Capstone project while submissions are still open**.

A few important points:
- **Homework is not required** for the certificate.
- You **must submit your project during the live course window**.
- You also need to be able to complete the required **peer reviews**, which are only available while the course is running.

So the main thing to do now is: **join the current cohort as soon as possible and make sure you submit the Capstone before the submission form closes**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late to the course still earn the certificate certificate requirements late enrollment""}'}]",0.00137175,74eb249bbf
I registered for the LLM Zoomcamp — when should I expect a confirmation email?,"You don’t need to wait for a confirmation email — you’re already accepted. Registration is mainly to gauge interest before the start date, and it isn’t checked against a registered list. You can start learning and submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp registration confirmation email when should I expect confirmation email""}'}]",0.00114225,977bf7786c
Do I actually need an acceptance email before I can start the course and hand in homework?,"No — you don’t need to wait for an acceptance/confirmation email.

According to the FAQ, you can start learning and even submit homework while the form is open, and it’s not checked against a registered list. Registration is mainly just to gauge interest before the start date.

If you want, I can also point you to the homework submission workflow and where to find the first assignment.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""acceptance email start course hand in homework acceptance email before starting course homework FAQ""}'}]",0.0014085,977bf7786c
"If I filled out the registration form, does that mean I’m officially on a checked list for the course?","Yes — filling out the registration form does **not** put you on an official checked list.

According to the FAQ, **you don’t need confirmation**, and **registration is not checked against any registered list**. It’s mainly used to **gauge interest before the start date**. You’re accepted, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registration form officially on a checked list course checked list enrolled after filling out registration form""}'}]",0.00120525,977bf7786c
"Is registering for the LLM Zoomcamp required, or is it just for estimating interest before the course starts?","Registering for the LLM Zoomcamp is **not required**. You can start learning and submitting homework while the form is open without registering.

The registration is **just to gauge interest before the course starts** and is **not checked against a registered list**.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp registration required estimate interest before course starts""}'}]",0.00132225,977bf7786c
Can I begin learning and submit homework even if I never got any email after signing up?,"Yes — you can start learning and submit homework even if you never received a confirmation email.

According to the FAQ, you don’t need the email or registration confirmation to begin. You’re accepted, and homework submissions are not checked against a registered list. Just make sure the homework submission form is still open when you submit.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""never got email after signing up can I begin learning and submit homework""}'}]",0.0010995,977bf7786c
